#TE	Order	Superfamily	Clade	Complete	Strand	Domains
TE_00000052_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand INT|Retand
TE_00000057_INT#LTR/unknown	LTR	Gypsy	Reina	no	-	PROT|Reina
TE_00000069_INT#LTR/Gypsy	LTR	Gypsy	Reina	yes	+	GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina
TE_00000121_INT#LTR/unknown	LTR	Gypsy	Reina	no	-	RH|Reina INT|Reina CHD|Reina
TE_00000155_INT#LTR/Gypsy	LTR	Gypsy	Tekay	no	+	GAG|Tekay PROT|Tekay
TE_00000260_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00000351_INT#LTR/unknown	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Tork RH|Tork INT|Reina CHD|Reina
TE_00000427_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00000586_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	INT|Reina CHD|Reina
TE_00000592_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	PROT|Retand
TE_00000593_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand
TE_00000624_INT#LTR/Copia	LTR	Copia	Bianca	no	+	PROT|Bianca INT|Bianca RT|Bianca RH|Bianca
TE_00000642_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	PROT|Reina CHD|Reina
TE_00000879_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00000941_INT#LTR/unknown	LTR	Gypsy	Reina	no	+	RH|Reina
TE_00000947_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	+	GAG|Retand
TE_00000963_INT#LTR/Gypsy	LTR	Gypsy	Retand	no	-	GAG|Retand PROT|Retand INT|Retand
TE_00001008_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina
TE_00001029_INT#LTR/Gypsy	LTR	Gypsy	Reina	no	+	PROT|Reina
TE_00001043_INT#LTR/Gypsy	LTR	Gypsy	Ogre	no	+	PROT|Ogre RT|Ogre RH|Ogre INT|Ogre
