sample_id,sample_download_link,sample_tissue,sample_project_number,sample_description
SRR13587899,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/099/SRR13587899/SRR13587899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/099/SRR13587899/SRR13587899_2.fastq.gz,ear,PRJNA698219,1-2 mm ear of B73-R3
SRR13587900,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/000/SRR13587900/SRR13587900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/000/SRR13587900/SRR13587900_2.fastq.gz,ear,PRJNA698219,1-2 mm ear of B73-R2
SRR13587901,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/001/SRR13587901/SRR13587901_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/001/SRR13587901/SRR13587901_2.fastq.gz,ear,PRJNA698219,1-2 mm ear of B73-R1
SRR13587902,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/002/SRR13587902/SRR13587902_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/002/SRR13587902/SRR13587902_2.fastq.gz,ear,PRJNA698219,1-2 mm ear of Fas-R3
SRR13587903,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/003/SRR13587903/SRR13587903_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/003/SRR13587903/SRR13587903_2.fastq.gz,ear,PRJNA698219,1-2 mm ear of Fas-R2
SRR13587904,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/004/SRR13587904/SRR13587904_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/004/SRR13587904/SRR13587904_2.fastq.gz,ear,PRJNA698219,1-2 mm ear of Fas-R1
SRR13518140,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/040/SRR13518140/SRR13518140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/040/SRR13518140/SRR13518140_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518141,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/041/SRR13518141/SRR13518141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/041/SRR13518141/SRR13518141_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518142,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/042/SRR13518142/SRR13518142_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/042/SRR13518142/SRR13518142_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518143,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/043/SRR13518143/SRR13518143_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/043/SRR13518143/SRR13518143_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518144,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/044/SRR13518144/SRR13518144_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/044/SRR13518144/SRR13518144_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518145,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/045/SRR13518145/SRR13518145_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/045/SRR13518145/SRR13518145_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518146,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/046/SRR13518146/SRR13518146_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/046/SRR13518146/SRR13518146_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518147,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/047/SRR13518147/SRR13518147_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/047/SRR13518147/SRR13518147_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518148,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/048/SRR13518148/SRR13518148_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/048/SRR13518148/SRR13518148_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518149,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/049/SRR13518149/SRR13518149_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/049/SRR13518149/SRR13518149_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518150,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/050/SRR13518150/SRR13518150_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/050/SRR13518150/SRR13518150_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518151,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/051/SRR13518151/SRR13518151_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/051/SRR13518151/SRR13518151_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518152,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/052/SRR13518152/SRR13518152_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/052/SRR13518152/SRR13518152_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518153,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/053/SRR13518153/SRR13518153_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/053/SRR13518153/SRR13518153_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518154,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/054/SRR13518154/SRR13518154_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/054/SRR13518154/SRR13518154_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518155,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/055/SRR13518155/SRR13518155_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/055/SRR13518155/SRR13518155_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518156,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/056/SRR13518156/SRR13518156_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/056/SRR13518156/SRR13518156_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518157,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/057/SRR13518157/SRR13518157_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/057/SRR13518157/SRR13518157_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518158,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/058/SRR13518158/SRR13518158_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/058/SRR13518158/SRR13518158_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518159,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/059/SRR13518159/SRR13518159_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/059/SRR13518159/SRR13518159_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518160,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/060/SRR13518160/SRR13518160_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/060/SRR13518160/SRR13518160_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518161,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/061/SRR13518161/SRR13518161_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/061/SRR13518161/SRR13518161_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518162,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/062/SRR13518162/SRR13518162_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/062/SRR13518162/SRR13518162_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518163,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/063/SRR13518163/SRR13518163_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/063/SRR13518163/SRR13518163_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518164,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/064/SRR13518164/SRR13518164_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/064/SRR13518164/SRR13518164_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518165,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/065/SRR13518165/SRR13518165_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/065/SRR13518165/SRR13518165_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518166,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/066/SRR13518166/SRR13518166_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/066/SRR13518166/SRR13518166_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518167,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/067/SRR13518167/SRR13518167_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/067/SRR13518167/SRR13518167_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518168,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/068/SRR13518168/SRR13518168_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/068/SRR13518168/SRR13518168_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518169,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/069/SRR13518169/SRR13518169_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/069/SRR13518169/SRR13518169_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518170,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/070/SRR13518170/SRR13518170_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/070/SRR13518170/SRR13518170_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518171,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/071/SRR13518171/SRR13518171_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/071/SRR13518171/SRR13518171_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518172,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/072/SRR13518172/SRR13518172_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/072/SRR13518172/SRR13518172_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
SRR13518173,ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/073/SRR13518173/SRR13518173_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR135/073/SRR13518173/SRR13518173_2.fastq.gz,root,PRJNA694491,RNA-seq data for the construction of co-expression networks of maize roots
