"TE_id" "TE_class" "fam_length" "fpkm" "tpm" "TE_class_group"
"1" "Seq_117336:19165..33400" "LTR/Gypsy" 14235 0 0 "LTR"
"2" "Seq_117336:35680..45042" "LTR/Copia" 9362 0 0 "LTR"
"3" "Seq_117337:28403..28482" "MITE/DTT" 79 0 0 "MITE"
"4" "Seq_117337:33521..42876" "LTR/Copia" 9355 0 0 "LTR"
"5" "Seq_117340:27599..37122" "LTR/Copia" 9523 0 0 "LTR"
"6" "Seq_117341:182834..191979" "LTR/Copia" 9145 0 0 "LTR"
"7" "Seq_117341:214947..224422" "LTR/Copia" 9475 0 0 "LTR"
"8" "Seq_117341:245498..255008" "LTR/Copia" 9510 0 0 "LTR"
"9" "Seq_117341:92443..103436" "LTR/Gypsy" 10993 0 0 "LTR"
"10" "Seq_117345:136773..144201" "LTR/Gypsy" 7428 0 0 "LTR"
"11" "Seq_117345:412556..423400" "LTR/Gypsy" 10844 0 0 "LTR"
"12" "Seq_117345:440576..452337" "LTR/Copia" 11761 0 0 "LTR"
"13" "Seq_117345:472353..479786" "LTR/Gypsy" 7433 0 0 "LTR"
"14" "Seq_117345:50477..62566" "LTR/Gypsy" 12089 0 0 "LTR"
"15" "Seq_117345:517929..522874" "DNA/DTC" 4945 5.62816494931279 68.7147537088412 "DNA"
"16" "Seq_117345:708078..715357" "LTR/Gypsy" 7279 0 0 "LTR"
"17" "Seq_117345:772018..779245" "LTR/Copia" 7227 0 0 "LTR"
"18" "Seq_117345:892973..900340" "LTR/Gypsy" 7367 0 0 "LTR"
"19" "Seq_117345:925350..932715" "LTR/Gypsy" 7365 0 0 "LTR"
"20" "Seq_117346:37796..47329" "LTR/Copia" 9533 0 0 "LTR"
"21" "Seq_117346:56478..65711" "LTR/Copia" 9233 0 0 "LTR"
"22" "Seq_117348:16330..16467" "MITE/DTM" 137 0 0 "MITE"
"23" "Seq_117348:5748..15275" "LTR/Copia" 9527 0 0 "LTR"
"24" "Seq_117349:24326..31769" "LTR/Gypsy" 7443 0 0 "LTR"
"25" "Seq_117349:2594..12502" "LTR/unknown" 9908 0 0 "LTR"
"26" "Seq_117349:42688..51873" "LTR/Copia" 9185 0 0 "LTR"
"27" "Seq_117349:53488..65304" "LTR/Copia" 11816 0 0 "LTR"
"28" "Seq_117351:15568..22922" "LTR/Gypsy" 7354 0 0 "LTR"
"29" "Seq_117351:2916..10427" "LTR/Gypsy" 7511 0 0 "LTR"
"30" "Seq_117355:39332..48746" "LTR/Gypsy" 9414 0 0 "LTR"
"31" "Seq_117357:5437..14912" "LTR/Copia" 9475 0 0 "LTR"
"32" "Seq_117358:3974..13235" "LTR/Copia" 9261 0 0 "LTR"
"33" "Seq_117359:24540..24619" "MITE/DTT" 79 70.4589257578525 860.239131873974 "MITE"
"34" "Seq_117361:100948..110227" "LTR/Copia" 9279 0 0 "LTR"
"35" "Seq_117361:185901..189279" "DNA/DTT" 3378 0 0 "DNA"
"36" "Seq_117361:188122..188669" "MITE/DTA" 547 0 0 "MITE"
"37" "Seq_117361:33917..43340" "LTR/Copia" 9423 0 0 "LTR"
"38" "Seq_117361:79243..72307" "DNA/Helitron" 6936 0 0 "DNA"
"39" "Seq_117361:88690..97226" "LTR/Copia" 8536 0 0 "LTR"
"40" "Seq_117363:16635..25804" "LTR/Copia" 9169 0 0 "LTR"
"41" "Seq_117363:2781..2917" "MITE/DTH" 136 0 0 "MITE"
"42" "Seq_117365:21526..30955" "LTR/Gypsy" 9429 0 0 "LTR"
