,0,1,2,3,4,5,6,7,8,9
0,TE_00000052_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,GAG|Retand INT|Retand,2,1,TE_00000052
1,TE_00000057_INT#LTR/unknown,LTR,Gypsy,Reina,0,-,PROT|Reina,1,1,TE_00000057
2,TE_00000069_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00000069
3,TE_00000121_INT#LTR/unknown,LTR,Gypsy,Reina,0,-,RH|Reina INT|Reina CHD|Reina,3,1,TE_00000121
4,TE_00000155_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,GAG|Tekay PROT|Tekay,2,1,TE_00000155
5,TE_00000260_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina,5,1,TE_00000260
6,TE_00000351_INT#LTR/unknown,LTR,Gypsy,Reina,0,+,GAG|Reina PROT|Tork RH|Tork INT|Reina CHD|Reina,5,1,TE_00000351
7,TE_00000427_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,GAG|Retand,1,1,TE_00000427
8,TE_00000586_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,INT|Reina CHD|Reina,2,1,TE_00000586
9,TE_00000592_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,PROT|Retand,1,1,TE_00000592
10,TE_00000593_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,GAG|Retand,1,1,TE_00000593
11,TE_00000624_INT#LTR/Copia,LTR,Copia,Bianca,0,+,PROT|Bianca INT|Bianca RT|Bianca RH|Bianca,4,1,TE_00000624
12,TE_00000642_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,PROT|Reina CHD|Reina,2,1,TE_00000642
13,TE_00000879_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,GAG|Retand,1,1,TE_00000879
14,TE_00000941_INT#LTR/unknown,LTR,Gypsy,Reina,0,+,RH|Reina,1,1,TE_00000941
15,TE_00000947_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,GAG|Retand,1,1,TE_00000947
16,TE_00000963_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,GAG|Retand PROT|Retand INT|Retand,3,1,TE_00000963
17,TE_00001008_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,GAG|Reina PROT|Reina RH|Reina INT|Reina CHD|Reina,5,1,TE_00001008
18,TE_00001029_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,PROT|Reina,1,1,TE_00001029
19,TE_00001043_INT#LTR/Gypsy,LTR,Gypsy,Ogre,0,+,PROT|Ogre RT|Ogre RH|Ogre INT|Ogre,4,1,TE_00001043
20,TE_00001099_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,GAG|Retand,1,1,TE_00001099
21,TE_00001120_INT#LTR/unknown,LTR,Gypsy,Retand,0,+,GAG|Retand INT|Retand,2,1,TE_00001120
22,TE_00001203_INT#LTR/Gypsy,LTR,Gypsy,CRM,0,+,INT|CRM,1,1,TE_00001203
23,TE_00001220_INT#LTR/unknown,LINE,unknown,unknown,unknown,+,RH|LINE,1,1,TE_00001220
24,TE_00001270_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,PROT|Reina,1,1,TE_00001270
25,TE_00001322_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,GAG|Tekay PROT|Tekay,2,1,TE_00001322
26,TE_00001405_INT#LTR/Gypsy,LTR,Gypsy,TatII,0,+,aRH|TatII,1,1,TE_00001405
27,TE_00001421_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00001421
28,TE_00001427_INT#LTR/Gypsy,LTR,Gypsy,CRM,0,+,GAG|CRM,1,1,TE_00001427
29,TE_00001472_INT#LTR/Copia,LTR,Copia,Angela,0,+,GAG|Angela,1,1,TE_00001472
30,TE_00001473_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,GAG|Reina,1,1,TE_00001473
31,TE_00001475_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,RT|Retand,1,1,TE_00001475
32,TE_00001479_INT#LTR/Gypsy,LTR,Gypsy,CRM,0,+,GAG|CRM PROT|CRM INT|CRM,3,1,TE_00001479
33,TE_00001498_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,RT|Reina RH|Reina,2,1,TE_00001498
34,TE_00001504_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,?,GAG|Tekay CHD|Tekay PROT|Tekay,3,1,TE_00001504
35,TE_00001509_INT#LTR/Copia,LTR,Gypsy,Ogre,0,+,PROT|Ogre RH|Ogre INT|Ogre GAG|Ale,4,1,TE_00001509
36,TE_00001519_INT#LTR/Gypsy,LTR,Gypsy,Reina,0,+,GAG|Reina PROT|Reina RT|Reina RH|Reina CHD|Reina,5,1,TE_00001519
37,TE_00001520_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00001520
38,TE_00001542_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,GAG|Retand,1,1,TE_00001542
39,TE_00001543_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00001543
40,TE_00001550_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00001550
41,TE_00001554_INT#LTR/unknown,LTR,Gypsy,Retand,0,-,aRH|Retand INT|Retand,2,1,TE_00001554
42,TE_00001559_INT#LTR/Copia,LTR,Copia,Ale,0,+,PROT|Ale GAG|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00001559
43,TE_00001567_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00001567
44,TE_00001570_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,CHD|Tekay,1,1,TE_00001570
45,TE_00001580_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00001580
46,TE_00001582_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00001582
47,TE_00001584_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,RH|Retand INT|Retand,2,1,TE_00001584
48,TE_00001586_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00001586
49,TE_00001608_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,-,INT|Retand,1,1,TE_00001608
50,TE_00001610_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,RH|Retand INT|Retand,2,1,TE_00001610
51,TE_00001627_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00001627
52,TE_00001657_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00001657
53,TE_00001659_INT#LTR/Copia,LTR,Copia,Ale,1,+,GAG|Ale PROT|Ale INT|Ale RT|Ale RH|Ale,5,1,TE_00001659
54,TE_00001688_INT#LTR/unknown,LTR,Copia,Ale,0,+,GAG|Ale RH|Ale,2,1,TE_00001688
55,TE_00001715_INT#LTR/Copia,LTR,Copia,Ale,0,+,GAG|Ale PROT|Ale RT|Ale RH|Ale,4,1,TE_00001715
56,TE_00001726_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,GAG|Retand,1,1,TE_00001726
57,TE_00001732_INT#LTR/unknown,LTR,Gypsy,Reina,0,+,PROT|Reina,1,1,TE_00001732
58,TE_00001736_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand INT|Retand,2,1,TE_00001736
59,TE_00001751_INT#LTR/Gypsy,LTR,Gypsy,Ogre,0,+,aRH|Ogre,1,1,TE_00001751
60,TE_00001752_INT#LTR/Copia,LTR,Copia,Ale,0,+,GAG|Ale,1,1,TE_00001752
61,TE_00001766_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,PROT|Tekay,1,1,TE_00001766
62,TE_00001772_INT#LTR/Gypsy,LTR,Gypsy,Reina,1,+,GAG|Reina PROT|Reina RT|Reina RH|Reina INT|Reina CHD|Reina,6,1,TE_00001772
63,TE_00001778_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00001778
64,TE_00001780_INT#LTR/Copia,LTR,Copia,SIRE,0,+,GAG|SIRE,1,1,TE_00001780
65,TE_00001784_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,PROT|Retand RT|Retand,2,1,TE_00001784
66,TE_00001794_INT#LTR/Copia,LTR,Copia,Ivana,0,+,GAG|Ivana RT|Ivana RH|Ivana,3,1,TE_00001794
67,TE_00001801_INT#LTR/Copia,LTR,Copia,Ale,0,+,GAG|Ale PROT|Ale INT|Ale,3,1,TE_00001801
68,TE_00001810_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,aRH|Retand INT|Retand,2,1,TE_00001810
69,TE_00001826_INT#LTR/Gypsy,LTR,Gypsy,Tekay,0,+,GAG|Tekay PROT|Tekay,2,1,TE_00001826
70,TE_00001831_INT#LTR/Gypsy,LTR,Gypsy,Retand,0,+,INT|Retand,1,1,TE_00001831
71,TE_00001839_INT#LTR/Copia,LTR,Gypsy,Retand,0,+,GAG|Retand,1,1,TE_00001839
