#id	length	evalue	coverge	probability	score
TE_00000052_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	9.3e-26	100.0	0.91	84.0
TE_00000052_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	113	1.2e-21	35.4	0.98	71.1
TE_00000057_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	71	1.5e-10	83.8	0.85	34.9
TE_00000069_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	9.5e-33	100.0	0.97	106.9
TE_00000069_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.6e-22	100.0	0.99	72.6
TE_00000069_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RT	173	2.9e-86	100.0	1.0	281.3
TE_00000069_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	96	1.2e-32	60.0	0.94	106.8
TE_00000069_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	308	4.6e-141	100.0	0.99	462.7
TE_00000069_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	72	5.4e-18	97.4	0.91	58.8
TE_00000121_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	34	6.9e-06	40.3	0.95	20.0
TE_00000121_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	79	1.5e-13	21.4	0.93	43.9
TE_00000121_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	47	0.00022	22.1	0.92	15.1
TE_00000155_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	121	1.5e-46	94.5	0.99	151.1
TE_00000155_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	67	2.1e-19	85.3	0.98	63.6
TE_00000260_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	4.3e-33	100.0	0.98	108.0
TE_00000260_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	4.4e-27	100.0	1.0	87.9
TE_00000260_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	91	4.2e-34	57.2	0.97	111.5
TE_00000260_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	219	3.4e-93	70.1	0.99	305.4
TE_00000260_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	76	7.2e-24	97.4	0.97	77.6
TE_00000351_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	1.6e-32	100.0	0.95	106.2
TE_00000351_INT#LTR/unknown|Class_I/LTR/Ty1_copia/Tork:Ty1-PROT	73	1.7e-34	100.0	0.96	111.6
TE_00000351_INT#LTR/unknown|Class_I/LTR/Ty1_copia/Tork:Ty1-RH	126	8.2e-59	100.0	1.0	190.6
TE_00000351_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	137	2.4e-54	43.5	0.99	177.8
TE_00000351_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	72	1.8e-19	98.7	0.91	63.6
TE_00000427_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	58	4.5e-13	43.4	0.96	43.0
TE_00000586_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	121	1.2e-27	34.1	0.91	90.2
TE_00000586_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	27	3.1e-07	32.5	0.95	24.3
TE_00000592_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	79	3.2e-20	100.0	0.97	66.2
TE_00000593_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	65	1.5e-19	51.6	0.98	63.9
TE_00000624_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-PROT	71	3.1e-29	100.0	1.0	94.2
TE_00000624_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-INT	203	7.6e-110	100.0	1.0	358.9
TE_00000624_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-RT	119	1.1e-81	35.5	0.94	267.8
TE_00000624_INT#LTR/Copia|Class_I/LTR/Ty1_copia/Bianca:Ty1-RH	116	4.7e-56	79.7	0.98	181.7
TE_00000642_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	69	1e-19	90.5	0.98	64.3
TE_00000642_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	35	2.5e-05	36.4	0.91	18.2
TE_00000879_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	63	2.1e-18	50.8	0.98	60.2
TE_00000941_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	39	0.00028	20.0	0.88	14.7
TE_00000947_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	61	1.2e-11	49.2	0.97	38.4
TE_00000963_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	306	3e-107	100.0	0.95	352.3
TE_00000963_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-PROT	42	3.5e-05	38.0	0.91	18.0
TE_00000963_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	8e-41	100.0	0.98	132.6
TE_00001008_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-GAG	121	8e-35	100.0	0.98	113.6
TE_00001008_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	7.3e-21	100.0	0.99	68.0
TE_00001008_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-RH	85	8.3e-35	56.6	0.98	113.8
TE_00001008_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-INT	152	3e-68	45.8	0.98	223.5
TE_00001008_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-CHD	73	3.9e-21	97.4	0.94	68.9
TE_00001029_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	74	2.6e-20	97.3	0.99	66.2
TE_00001043_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-PROT	77	3.9e-25	100.0	0.96	81.5
TE_00001043_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RT	49	4.7e-18	26.7	0.98	59.0
TE_00001043_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-RH	150	3e-59	99.3	0.98	192.9
TE_00001043_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre:Ty3-INT	318	2.3e-157	100.0	1.0	516.9
TE_00001099_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	9.1e-41	100.0	0.98	132.4
TE_00001120_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-GAG	120	2.4e-37	100.0	0.98	121.4
TE_00001120_INT#LTR/unknown|Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand:Ty3-INT	114	7.6e-32	35.7	0.96	104.6
TE_00001203_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/CRM:Ty3-INT	89	1.6e-16	26.3	0.95	54.0
TE_00001220_INT#LTR/unknown|Class_I/LINE:LINE-RH	107	5.9e-18	93.0	0.94	58.9
TE_00001270_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Reina:Ty3-PROT	28	4e-19	27.0	0.83	62.4
TE_00001322_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-GAG	128	1.2e-40	100.0	0.98	132.1
TE_00001322_INT#LTR/Gypsy|Class_I/LTR/Ty3_gypsy/chromovirus/Tekay:Ty3-PROT	38	9.7e-09	49.3	0.98	29.4
